,word,arabic,hungarian,indonesian,vietnamese,turkish,ico_vietnamese,ico_hungarian,ico_indonesian,ico_arabic,ico_turkish,ico_english,ico_rating_2022,ico_rating_2017,
226,season,الموسم,szezon,musim,mùa,sezon,0.479506272151135,0.463016968510919,0.458160972682597,0.448739822589514,0.456792690323784,0.455947871703255,2.90909090909091,,
242,published,نشرت,publikált,diterbitkan,xuất_bản,yayınlandı,0.463480936793063,0.467608612565464,0.470832529941636,0.449429186514252,0.467036035497483,0.469450439890369,,,
243,town,البلدةِ,városon,kota,thị_trấn,Kasabaya,0.454421828577974,0.451873001697123,0.459502808948873,0.454123829662203,0.45295547086062,0.453952359883652,3.8,,
245,age,بعمرك,korodbeli,usia,tuổi,Yaşına,0.41742291373504,0.436347535342996,0.435596517121197,0.444762361352073,0.440611740423702,0.432706846581907,3.3,,
250,down,للأسفل,odalent,Turun,Nằm_xuống,Aşağı,0.596752417338972,0.598327436317936,0.60864463558009,0.590703405713335,0.607133448377664,0.609493233460475,3.3,0.56993007,
259,again,مجدّداً,Ismét,Senang,Lại,gene,0.608045526952245,0.584058650608412,0.591401138570488,0.601997082419182,0.59955977368485,0.594069363077806,,,
262,having,بوقت,viszonya,mengadakan,vui_vẻ,geçiriyorum,0.660159382887183,0.670806086103058,0.677285582690197,0.650052668267977,0.676217815159585,0.671707374838199,,,
269,different,مختلفون,különbözik,berbeda,khác,farklısın,0.531377852668059,0.587650810908439,0.5757669631384,0.577986039423073,0.587049663948247,0.578593907136213,2.6,,
272,started,بدأتُ,kezdted,memulainya,bắt_đầu,başlattı,0.498459373090832,0.501164385474363,0.487669710675824,0.501910239645362,0.498701543043495,0.505429296945857,,,
273,given,نظرا,tekintve,diberikan,trao,verilmiş,0.507937345896983,0.595305263085124,0.589121350096061,0.532355881499739,0.587558848916341,0.577827769763355,4.5,,
274,24,24ساعة,24-es,sehari,24h,saatiniz,0.494394003439822,0.441236443168477,0.417754515990071,0.449785303607915,0.416197312546841,0.440495318617773,,,
277,came,جائت,eljöttél,berasal,trở,gelmiştim,0.539785712917716,0.586823422549296,0.58007319683297,0.576632460203968,0.588514369413919,0.586208515565948,2.5,,
285,official,رسمي,hivatalos,resmi,chính_thức,Resmi,0.444858196479178,0.462829060869073,0.458810166867777,0.451100675014962,0.454329771235044,0.459753551705154,4.1,,
287,founded,تأسست,alapította,didirikan,thành_lập,kuruldu,0.395643507281942,0.400803120648365,0.396920995962684,0.402853849680462,0.395422067524287,0.406369628306188,,,
294,non,مرغوب,Non,oui,Tiếng,Non,0.459139922768311,0.471325295479105,0.470628313267451,0.462142759865783,0.455239533013922,0.469461018073025,,,
295,st,القدّيس,Szt,31,Santo_Domingo,31,0.422556410450931,0.413277184399716,0.338694150618828,0.420270884691736,0.347301407026599,0.422622888245025,,,
298,married,متزوج,Házas,menikah,kết_hôn,evlisin,0.396874252603067,0.395883978479751,0.38270437899711,0.399575135161777,0.391245356601112,0.397964710628343,,,
301,western,الغربية,nyugati,barat,tây,batı,0.446620694476902,0.464539098965223,0.451399983533002,0.466317359810375,0.459462171809611,0.466393956897425,,,
311,total,المجموع,Összesen,totalnya,tổng_cộng,Toplamda,0.42176712725767,0.448825616605431,0.444340909759406,0.442293596107058,0.447397892934143,0.444971451720444,,,
320,present,الحاضر,jelenben,hadir,quà,hediyeni,0.465159349610997,0.500663450764236,0.490853004332396,0.493263259045547,0.495872960510522,0.495330364712902,3,0.307692308,
328,using,تستخدمين,használsz,menggunakan,sử_dụng,kullanıyordu,0.642408963162108,0.656326281439753,0.663588672782431,0.659023284766609,0.665741191984261,0.651045292164997,,,
329,play,المسرحية,játszd,bermain,chơi,Oynamak,0.542892845057362,0.540891758371625,0.542963618678237,0.542236085293924,0.543391669895587,0.544705287024629,3.7,1.083333333,
336,building,المبنى,épületről,gedung,tòa,Binayı,0.514464915017834,0.512898302795142,0.519504417114886,0.518307676086529,0.514485670553269,0.516887093275041,3.3,1.636363636,
338,see,سنرى,meglátjuk,jumpa,vui,görüyorsun,0.551290962078786,0.565049273720843,0.552325588156057,0.552540009573674,0.559235758242156,0.552611911161313,4,1.272727273,
341,making,تصنع,követsz,memastikan,phạm,yapıyorsunuz,0.613112833935892,0.644666110969277,0.646896494302032,0.619450068574775,0.649457946905225,0.645366788855872,2.7,,
350,once,لمرة,mindenkorra,sekaligus,một_khi,kereliğine,0.676555017291012,0.671431396108,0.668868962033681,0.659137557046234,0.67565814592997,0.672844915863829,3.5,,
357,b,وثانياً,4-est,B,B,B.,0.45707435834684,0.386455580097269,0.402141603755087,0.389802631532029,0.41334224075044,0.405005880640516,,,
365,us,أخبرنا,rólunk,memberi,bọn,Bizden,0.521320466180535,0.500800951934491,0.502483697603269,0.510348941152723,0.501114242404516,0.523832790460574,3,-0.769230769,
368,album,الألبوم,albumot,Album,Album,albüm,0.501461453724696,0.482846533972871,0.491952547866475,0.456700890651318,0.491192484973725,0.498744965727819,2.1,,
372,working,تعملين,Működik,berfungsi,làm_việc,Çalışıyor,0.595830529867592,0.591707304068764,0.594507669272735,0.58329543631404,0.593969508726533,0.589520598288043,3.3,,
380,lost,تائه,Elvesztetted,tersesat,mất,Kaybol,0.557524616678764,0.557612427573014,0.552237638927389,0.541983507491823,0.547359836568349,0.563822427440462,4.8,,
390,half,نصفها,Félig,setengah,nửa,Yarısını,0.549956694535042,0.520266553999069,0.504454864551523,0.523196974968096,0.50645018241021,0.532906713740313,3.9,,
393,special,مميز,különlegesek,istimewa,đặc_biệt,özelsin,0.497717459108937,0.493132529356264,0.509504750654703,0.481199812522104,0.500799019136352,0.499354003777048,4.2,,
395,27,الـ27,27-es,Seok,Tầng,27,0.424059261850199,0.433017826020146,0.410344867502751,0.464421635724531,0.454587259314551,0.445524839982625,,,
397,law,القانون,törvénnyel,hukum,luật,Kanun,0.448143127630155,0.486102765503385,0.461085970933077,0.474659078040792,0.462659972433888,0.426549227633419,4.7,,
400,division,التقسيم,hadosztály,divisi,bộ_phận,tümeni,0.387311592493967,0.392047537969675,0.38790421708489,0.384383029834161,0.388399526557209,0.39368515162132,4.1,,
402,park,الحديقة,parkban,taman,công_viên,parkta,0.459525335843963,0.466458442839241,0.459194743092871,0.460039102465781,0.463749231168343,0.463696181687356,3.5,0.384615385,
406,free,حر,Szabadok,bebas,tự_do,Gitmekte,0.550037576177212,0.5577062748102,0.554195505748991,0.518512293344587,0.560871787608849,0.546979761584088,3.6,0.769230769,
410,100,الـ100,100-at,seratus,trăm,100$,0.437474239592672,0.446042364476432,0.432895451959804,0.457275735146643,0.346357239807042,0.349232195390824,,,
411,upon,الزمان,Úr,Pada,xửa,üstüne,0.531265480290558,0.533162306522428,0.547522310202317,0.570525146869789,0.570944108068738,0.551504318618023,3.3,,
421,throughout,كافة,folyamán,diseluruh,khắp,genelinde,0.542772594311153,0.585446519254816,0.587538537269831,0.54059612360924,0.586182670702694,0.577941838681875,,,
426,popular,شعبية,népszerű,populer,nổi_tiếng,popüler,0.550267546091913,0.557348359534921,0.546808510779122,0.543176207638843,0.55276770757825,0.553491667581626,3.18181818181818,,
430,game,لعبتي,játszma,permainan,trò_chơi,Maçı,0.519117427200556,0.510754291705828,0.502091392966819,0.532689939083246,0.51879605081164,0.510720272524156,,0.066666667,
436,taken,اتخذت,foglalt,diambil,chiếm,çekildi,0.560452849680175,0.593419275476155,0.581284214286015,0.594005432579336,0.587015213243094,0.598108265057572,3.4,,
444,wrote,كتبته,leírtam,menulis,viết,yazmışsın,0.535259137836824,0.540478162412674,0.536683626282544,0.513891356377719,0.534423459296913,0.538469803856648,3.2,,
445,common,مشترك,gyakori,kesamaan,chung,noktamız,0.543661587406465,0.569178705353998,0.574792402549401,0.553760755177703,0.578040047949516,0.571347422310095,2.9,,
446,eastern,الشرقية,keleti,timur,đông,doğu,0.416245316972221,0.43484689805349,0.432406775020585,0.437078594332523,0.433857384721998,0.437236312915616,3.9,,
459,playing,يتلاعب,játssza,mempermainkan,chơi,oynuyordum,0.542072718620882,0.536316750594704,0.52017285912527,0.534382807865126,0.530800471416088,0.542278862278767,,,
461,project,المشروع,projekt,proyek,dự_án,proje,0.499762563799176,0.494838636712906,0.491573188300632,0.491844117584562,0.494972240876616,0.494323352790547,,,
468,followed,تبعت,Követtem,diikuti,theo,ediliyoruz,0.588268213761075,0.613096736617826,0.598497283911188,0.593756770046624,0.607012219197707,0.608921576618158,,,
469,leading,الرائدة,főszereplő,memimpin,dẫn,başrol,0.575279558846341,0.618150963407347,0.617296486244218,0.604970797382627,0.604499484459651,0.605620974955843,4.8,,
488,debut,ظهور,debütálni,debutnya,ra_mắt,çıkışını,0.424976674419875,0.412751045923393,0.414542201637253,0.423583395688107,0.419484682024388,0.423536715725561,3,,
494,million,مليوناً,milliószor,sejuta,triệu,milyonda,0.414983061081588,0.441288723334345,0.434577137385967,0.428894658171032,0.439965843614803,0.441184386543258,,-0.692307692,
495,go,للذهاب,menned,pergilah,Đi,yürü,0.614883771021563,0.615028769920805,0.606319138326868,0.624594752418416,0.627093749405145,0.618007825822779,4.9,1.454545455,
504,features,ملامح,vonásai,fitur,nét,özellikleri,0.57508559760377,0.572185574580954,0.576865553380138,0.586985295038944,0.559288886196564,0.577253381697037,,,
507,players,اللاعبين,játékosok,pemain,cầu_thủ,oyuncular,0.474136707384034,0.464774153999274,0.479060971528641,0.4705914709172,0.481229832246877,0.479272079084604,,,
509,services,خدمات,szolgálataira,layanan,dịch_vụ,hizmetlerine,0.486251996247104,0.523654981881341,0.512287407121909,0.468001935300834,0.523739651676956,0.5050474232722,,,
513,31,الـ31,31-es,Desember,31t,31,0.487312061016468,0.436734013669326,0.393499744215548,0.468250006541155,0.464147643081806,0.454572559296505,,,
517,language,لغة,nyelv,bahasa,ngôn_ngữ,dili,0.401235509708774,0.405740138529499,0.403294428935834,0.369806418927556,0.409345734221307,0.402716575812801,3.81818181818182,,
519,chief,الزعيم,törzsfőnök,Kepala,trưởng,şef,0.416592382707497,0.439920749222464,0.441872290882513,0.43888752907711,0.436699940418066,0.430117430172654,4.5,,
524,love,أحبّك,Szerelmes,mencintaimu,yêu,bayılırım,0.648365501716855,0.590093308121988,0.580152957827119,0.603270327034194,0.582031919141017,0.623505056139663,3.8,1.125,
527,event,الحدث,esemény,acara,sự_kiện,etkinlik,0.48965102743139,0.483194375549333,0.48468184188245,0.480747280536903,0.487193122919898,0.484299857459968,3.6,,
531,example,المثال,példa,contoh,ví_dụ,örnekti,0.680600704715165,0.684325463525249,0.685838747289002,0.696047957299953,0.70086489616982,0.706131525633329,2.5,,
536,above,فوقنا,felülről,diatas,vượt,Yukarıdan,0.510681856185067,0.512652471766976,0.508293379890033,0.520487367224837,0.507877940780296,0.520206072627836,3.8,1.0625,
542,added,أضفت,hozzáadtam,menambahkan,thêm,ekledim,0.561227848509245,0.563141161250926,0.55976260849372,0.570149673783909,0.556981031629618,0.564779234840521,,,
549,listed,مدرج,felsorolt,terdaftar,liệt_kê,listelenmiş,0.380332772650105,0.387117609382655,0.385489240269918,0.382745021585517,0.382419304352383,0.388621806694997,2.6,,
551,science,العلم,tudomány,ilmu,khoa_học,bilimi,0.447354807553883,0.463357284372859,0.455978186392356,0.449767166349429,0.471014139980337,0.457541593688023,3.09090909090909,,
554,signed,موقعة,aláírta,menandatangani,ký,imzaladı,0.378016241010334,0.397017540849395,0.383411125716928,0.376588651619942,0.390035559938638,0.404623362496775,,,
559,thus,وبالتالي,ezáltal,demikian,luồn,böylelikle,0.683639475711835,0.724389042890904,0.73259249035004,0.725673013410579,0.735098788653647,0.676432290673904,2.3,,
560,approximately,يقرب,megközelítőleg,kira-kira,khoảng,tahminen,0.398622445878514,0.398285016813024,0.41071283988598,0.412513333687986,0.410569515402547,0.404096018659423,,,
561,featured,عُرِضَ,kiemelt,ditampilkan,Pavilion,figüran,0.571299405037275,0.567123886113012,0.549980594583537,0.612128895977371,0.566036793320517,0.582484337131516,2.6,,
563,awarded,منح,tüntettek,dianugerahi,trao,ödüllendirildi,0.336042431248264,0.388608587573342,0.37951455420066,0.342102833171661,0.388656399427656,0.385422110244223,,,
570,50,الخمسين,50-et,sen,mét,50$,0.488254265034929,0.497336190758949,0.482569583820322,0.462486909580533,0.443089261132762,0.435708532914554,,,
580,rather,بالأحرى,szívesebben,agak,thà,olmaktansa,0.601139853319307,0.688122338453717,0.654003807585396,0.669978534729937,0.681516260185047,0.654171210186825,2,,
585,1984,عـام,1984-ben,Macintosh,năm,Etiyopya,0.397228753152012,0.39946022845111,0.381333052957554,0.405643441976793,0.391248489738605,0.452678929149599,,,
595,r,الراء,Lawson,R,Yuma_♪,R,0.395036207101493,0.38263532552198,0.410869233291761,0.389528875952041,0.457954431141662,0.406714380307721,,,
596,far,البعد,Messze,sejauh,xa,uzaklara,0.567688821969309,0.5707425048139,0.570441538652043,0.565147585646781,0.573888311444397,0.570314773580817,4.5,-0.642857143,
601,type,نوعي,esetem,tipe,loại,tipim,0.493818263587361,0.516862226733865,0.511149032029401,0.500863009922954,0.50822574537776,0.513023753312312,,1.076923077,
604,taking,يأخذون,viszel,membawaku,chăm_sóc,götürüyorsunuz,0.604714014387574,0.607191649368172,0.608250008371251,0.621222592412319,0.616948581700664,0.613263382855308,3.2,,
609,performed,أديت,fellépett,tampil,thực_hiện,gerçekleştirdi,0.536185174342479,0.524822744891859,0.530962885222244,0.538340319415511,0.513673575229462,0.537054235813502,,,
618,change,سيتغير,aprót,perubahan,thay_đổi,Değişiklik,0.588236898230951,0.586780710246896,0.603659323566735,0.59433592248851,0.608220669733859,0.592400784907426,3,,
622,contains,يحتوي,tartalmaz,berisi,chứa,içeriyor,0.440801798019057,0.448312037202274,0.432241523937641,0.431190965281134,0.440351847238607,0.437286973154869,,,
624,sometimes,وأحيانا,olykor,kadang-kadang,đôi_khi,Arada,0.659923367960547,0.65695010932832,0.656862276877195,0.654846092190647,0.658009870322848,0.652790874141497,,,
625,put,وضعها,tegye,meletakkannya,đặt,koydun,0.63700015598322,0.639695232560246,0.629582721511866,0.623992470584224,0.642025914585938,0.64600937455794,2.1,1.230769231,
627,my,منزلي,hibám,temanku,Ôi,hayatım,0.649169922179018,0.603731898013432,0.584386949713952,0.613562652175307,0.586777146425294,0.617171252728669,2.8,1.5,
628,changed,تغيرت,Megváltoztam,berubah,thay_đổi,değiştim,0.477999454542821,0.513541717749708,0.487609256149651,0.48850352231326,0.494643200870704,0.501748357732952,,,
634,republic,الجمهورية,köztársaság,republik,cộng,cumhuriyet,0.326430984904458,0.361894093624728,0.361975762278593,0.372874286773316,0.364598093314674,0.363746345072521,2.18181818181818,0.230769231,
635,40,الأربعين,40-et,berumur,mét,Kırk,0.481546727400261,0.492101377100338,0.464058707685878,0.439359560332333,0.471275519322681,0.44594716377579,,,
646,writer,كاتب,író,penulis,nhà_văn,yazar,0.451279002057462,0.466763182335594,0.44455969705123,0.435020191771456,0.450689332961535,0.451849654979865,4.3,,
647,author,المؤلف,szerző,penulis,tác_giả,yazarı,0.45871392237755,0.467818587335992,0.463965894572789,0.460229428050848,0.461246276462227,0.471891382616999,2.1,,
649,media,الإعلام,média,Media,truyền_thông,Medya,0.511639994347358,0.505116132377946,0.505463993780739,0.521214774647522,0.506008141607626,0.506648854138766,2.8,,
657,win,أفوز,Nyertél,menang,thắng,Kazanmak,0.455180147857767,0.460935620904707,0.459491108211885,0.465570343319383,0.462545629697432,0.460555466341451,4.5,0.428571429,
661,indian,الهندي,indián,Indian,da,Hint,0.429471359000489,0.41398996953661,0.413884516151837,0.411317560715196,0.39905074437329,0.410353323550059,,,
662,success,النجاح,siker,sukses,thành_công,başarı,0.552274037165299,0.552204546085838,0.548733258815032,0.547019620291341,0.555803555085851,0.555654854488043,2.8,-0.846153846,
669,limited,محدودة,korlátozott,terbatas,giới_hạn,sınırlı,0.528539959477272,0.533677553011393,0.530087331961239,0.507672037844486,0.530235214132671,0.529028871625923,3.3,-1.363636364,
675,whom,ممن,Kitől,Kepada,Bởi,Kimden,0.52626803989701,0.552596949116259,0.548820936859256,0.515185301987054,0.548288604500157,0.529377027091938,,,
685,p,m,P,P,chiều,is,0.378361621567,0.425114661692547,0.385966833272525,0.416815033856987,0.424588689987423,0.398347926977001,,,
686,committee,اللجنة,bizottság,komite,ủy_ban,komitesi,0.407979529645572,0.429092022491476,0.42071459629772,0.405023524423457,0.432795249995985,0.430398333726059,3.3,,
688,peter,بيتر,Peter,Peter,Peter,Peter,0.468974149668324,0.468919174095465,0.469293935908893,0.470846285450681,0.466527457647547,0.474873879417585,,,
693,section,القسم,szekció,Pasal,khu_vực,bölüme,0.461596491942645,0.470290939140856,0.464991677479817,0.473055928809598,0.466932504521066,0.472967819532746,,,
698,students,الطلاب,diákok,siswa,học_sinh,öğrenciler,0.465088489203975,0.460024390342682,0.462275144121714,0.458668776492828,0.478560981470941,0.460019403047989,,,
709,better,بتحسن,jobbak,membaik,tốt_đẹp,edersin,0.567381410521609,0.572350283671577,0.575689534036526,0.564653050842616,0.572408522011281,0.570983459839529,2,-0.1,
726,leader,زعيم,vezér,pemimpin,lãnh_đạo,lider,0.475569441595054,0.476151616163808,0.485847213584621,0.458796239724209,0.474668824945605,0.465451365634391,3.4,,
727,towards,تجاهي,felém,arahku,tiến,ilerliyor,0.513625435439358,0.530017212504817,0.529074541939897,0.517721096764514,0.54163027710991,0.5386465388016,,,
729,songs,الأغاني,dalokat,lagu-lagu,bài,şarkıları,0.555177375814066,0.525129324011842,0.520721232968109,0.503325324922844,0.516938972203956,0.530998423793927,,,
733,means,الوسائل,vagyis,artinya,nghĩa_là,anlamını,0.621105990259919,0.613061388067526,0.623934395588977,0.630511927186764,0.624838460508875,0.613848597627964,,,
735,finally,أخيراً,Végre,akhirnya,cuối_cùng,nihayet,0.62483328107096,0.643965821044161,0.644396137375628,0.649365249410385,0.633875188597656,0.647982217759295,5,,
747,noted,لوحظ,Tudomásul,dicatat,ghi_nhận,kaydedildi,0.5607308214653,0.580527544515291,0.574958788206095,0.536806418659932,0.575519564168609,0.574361742059452,,,
752,higher,أعلى,magasabbra,tinggi,cao,yükseğe,0.452106039962896,0.512065954859934,0.506260479402243,0.476382400664711,0.513160401734027,0.488775274066959,,,
760,coast,الساحل,partjainál,pantai,bờ,Kıyı,0.473042298259148,0.445543726827455,0.462753996002082,0.457532897629607,0.468690794854248,0.464730253104596,4.54545454545455,-0.428571429,
761,health,صحتك,egészsége,kesehatan,sức_khỏe,Sağlığınıza,0.506692659800843,0.517114015055361,0.520465891815628,0.469088762338173,0.520697029065851,0.484074911552468,2.83333333333333,1.083333333,
762,allowed,مسموح,megengedett,diperbolehkan,phép,verilmiyor,0.554394452254282,0.625885794647635,0.621529906949614,0.571250021715849,0.611755629739169,0.588466494821173,,,
772,1973,73,1973-ban,Konferensi,ngừng_bắn,73,0.387798898552627,0.413401850219047,0.390137793244837,0.558270734501874,0.449832957164951,0.433224408441255,,,
782,opening,الافتتاح,nyitó,pembukaan,mở,açılış,0.535937362063857,0.554335669921151,0.546518928862628,0.541475996383863,0.554377338996875,0.553234511366937,,0.769230769,
783,technology,التكنولوجيا,technológia,teknologi,công_nghệ,teknoloji,0.480830883702383,0.506554973634693,0.511194633205953,0.509259753299369,0.50579252128565,0.499100576716759,4.3,,
784,base,القاعدة,bázis,pangkalan,căn_cứ,üsse,0.483771991789698,0.485188663221266,0.484249657331827,0.483658486678267,0.480769191174804,0.489858898338778,,1,
785,me,إليّ,Add,dariku,Để,Benden,0.613979830015664,0.592144759060472,0.569724711414211,0.596025718495833,0.562629705596541,0.603658048098168,4.9,0.6,
791,length,الطول,hossza,panjang,dài,uzunluğu,0.48312283558326,0.464672473330651,0.460689107422182,0.468825458577509,0.46137344001777,0.471690729959091,,,
793,fact,واقع,Tény,fakta,thực_tế,gerçeğini,0.717090666282313,0.717603969714622,0.718330827005289,0.691468666217078,0.740250530478969,0.723945038356964,2.8,1.5,
802,course,مسار,irányt,kursus,tất_nhiên,rota,0.521974013845354,0.523091469396411,0.5150135907165,0.51323454789261,0.519122134487768,0.519230816621243,,0.4,
